Category,Artist,Title,Year,Image URL,Painting Info URL,file name,path
Pop Art,May Wilson,Ridiculous Portrait (Statue of Liberty),1972,https://use2-uploads5.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg,https://www.wikiart.org/en/may-wilson/ridiculous-portrait-statue-of-liberty-1972,ridiculous-portrait-statue-of-liberty-1972.jpg,/pop_art/ridiculous-portrait-statue-of-liberty-1972.jpg
Northern Renaissance,Jean Hey,The Nativity,1490,https://use2-uploads0.wikiart.org/images/jean-hey/the-nativity.jpg,https://www.wikiart.org/en/jean-hey/the-nativity,the-nativity.jpg,/northern_renaissance/the-nativity.jpg
Pop Art,Roy Lichtenstein,Brattata,1962,https://use2-uploads3.wikiart.org/00131/images/roy-lichtenstein/dsc-3355.jpg,https://www.wikiart.org/en/roy-lichtenstein/brattata-1962,dsc-3355.jpg,/pop_art/dsc-3355.jpg
Rococo,Jean-Honore Fragonard,Coresus at Callirhoe,1765,https://use2-uploads0.wikiart.org/images/jean-honore-fragonard/high-priest-coresus-sacrificing-himself-to-save-callirhoe-scene-from-description-of-greece-by-1765.jpg,https://www.wikiart.org/en/jean-honore-fragonard/coresus-at-callirhoe-1765-1,high-priest-coresus-sacrificing-himself-to-save-callirhoe-scene-from-description-of-greece-by-1765.jpg,/rococo/high-priest-coresus-sacrificing-himself-to-save-callirhoe-scene-from-description-of-greece-by-1765.jpg
Surrealism,Paul Delvaux,Pygmallion,1939,https://use2-uploads7.wikiart.org/images/paul-delvaux/pygmallion-1939.jpg,https://www.wikiart.org/en/paul-delvaux/pygmallion-1939,pygmallion-1939.jpg,/surrealism/pygmallion-1939.jpg
Color Field Painting,John Ferren,Sidon No. 3,1965,https://use2-uploads6.wikiart.org/images/john-ferren/sidon-no-3-1965.jpg,https://www.wikiart.org/en/john-ferren/sidon-no-3-1965,sidon-no-3-1965.jpg,/color_field_painting/sidon-no-3-1965.jpg
High Renaissance,Giovanni Bellini,The Feast of the Gods,1514-1516,https://use2-uploads4.wikiart.org/images/giovanni-bellini/the-feast-of-the-gods-1514.jpg,https://www.wikiart.org/en/giovanni-bellini/the-feast-of-the-gods-1514,the-feast-of-the-gods-1514.jpg,/high_renaissance/the-feast-of-the-gods-1514.jpg
Realism,Constantin Stahi,Portrait of a Girl,1873,https://use2-uploads1.wikiart.org/images/constantin-stahi/portrait-of-a-girl-1873.jpg,https://www.wikiart.org/en/constantin-stahi/portrait-of-a-girl-1873,portrait-of-a-girl-1873.jpg,/realism/portrait-of-a-girl-1873.jpg
Lyrical Abstraction,Kazuo Shiraga,Untitled,1972,https://use2-uploads6.wikiart.org/images/kazuo-shiraga/untitled-1972.jpg,https://www.wikiart.org/en/kazuo-shiraga/untitled-1972,untitled-1972.jpg,/lyrical_abstraction/untitled-1972.jpg
Post-Impressionism,Gwen John,Interior with Figures,1898-1899,https://use2-uploads6.wikiart.org/images/gwen-john/interior-with-figures-1899.jpg,https://www.wikiart.org/en/gwen-john/interior-with-figures-1899,interior-with-figures-1899.jpg,/post_impressionism/interior-with-figures-1899.jpg
Post-Impressionism,Janos Tornyai,On a seacoast,1900,https://use2-uploads2.wikiart.org/images/janos-tornyai/on-a-seacoast-1900.jpg,https://www.wikiart.org/en/janos-tornyai/on-a-seacoast-1900,on-a-seacoast-1900.jpg,/post_impressionism/on-a-seacoast-1900.jpg
Neo-Expressionism,Peter Alexander,Romance XX,1989,https://use2-uploads1.wikiart.org/images/peter-alexander/romance-xx-1989.jpg,https://www.wikiart.org/en/peter-alexander/romance-xx-1989,romance-xx-1989.jpg,/neo_expressionism/romance-xx-1989.jpg
Abstract Expressionism,John Ferren,Untitled,1952,https://use2-uploads4.wikiart.org/images/john-ferren/untitled-1952.jpg,https://www.wikiart.org/en/john-ferren/untitled-1952,untitled-1952.jpg,/abstract_expressionism/untitled-1952.jpg
Realism,Fyodor Vasilyev,Before a Thunderstorm,1867-1869,https://use2-uploads3.wikiart.org/images/fyodor-vasilyev/before-a-thunderstorm-1869.jpg,https://www.wikiart.org/en/fyodor-vasilyev/before-a-thunderstorm-1869,before-a-thunderstorm-1869.jpg,/realism/before-a-thunderstorm-1869.jpg
Cubism,Lyonel Feininger,The Green Bridge II,1916,https://use2-uploads2.wikiart.org/images/lyonel-feininger/the-green-bridge-ii-1916.jpg,https://www.wikiart.org/en/lyonel-feininger/the-green-bridge-ii-1916,the-green-bridge-ii-1916.jpg,/cubism/the-green-bridge-ii-1916.jpg
Surrealism,Salvador Dali,The Great Masturbator,1929,https://use2-uploads1.wikiart.org/images/salvador-dali/the-great-masturbator-1929.jpg,https://www.wikiart.org/en/salvador-dali/the-great-masturbator-1929,the-great-masturbator-1929.jpg,/surrealism/the-great-masturbator-1929.jpg
Neoclassicism,Joshua Reynolds,Mrs Siddons as the Tragic Muse,1784-1789,https://use2-uploads3.wikiart.org/images/joshua-reynolds/mrs-siddons-as-the-tragic-muse-1789.jpg,https://www.wikiart.org/en/joshua-reynolds/mrs-siddons-as-the-tragic-muse-1789,mrs-siddons-as-the-tragic-muse-1789.jpg,/neoclassicism/mrs-siddons-as-the-tragic-muse-1789.jpg
Pop Art,Richard Hamilton,"Just what is it that makes today&#39;s homes so different, so appealing?",1956,https://use2-uploads2.wikiart.org/images/richard-hamilton/http-en-wikipedia-org-wiki-file-hamilton-appealing2-jpg-1956.jpg,https://www.wikiart.org/en/richard-hamilton/http-en-wikipedia-org-wiki-file-hamilton-appealing2-jpg-1956,http-en-wikipedia-org-wiki-file-hamilton-appealing2-jpg-1956.jpg,/pop_art/http-en-wikipedia-org-wiki-file-hamilton-appealing2-jpg-1956.jpg
Realism,Vasily Vereshchagin,Mortally Wounded,1873,https://use2-uploads2.wikiart.org/images/vasily-vereshchagin/mortally-wounded-1873.jpg,https://www.wikiart.org/en/vasily-vereshchagin/mortally-wounded-1873,mortally-wounded-1873.jpg,/realism/mortally-wounded-1873.jpg
Magic Realism,Eric Ravilious,Lysanders in the snow,1942,https://use2-uploads2.wikiart.org/images/eric-ravilious/lysanders-in-the-snow-1942.jpg,https://www.wikiart.org/en/eric-ravilious/lysanders-in-the-snow-1942,lysanders-in-the-snow-1942.jpg,/magic_realism/lysanders-in-the-snow-1942.jpg
Color Field Painting,Ronnie Landfield,The Howl of Terror,1967,https://use2-uploads1.wikiart.org/images/ronnie-landfield/the-howl-of-terror-1967.jpg,https://www.wikiart.org/en/ronnie-landfield/the-howl-of-terror-1967,the-howl-of-terror-1967.jpg,/color_field_painting/the-howl-of-terror-1967.jpg
Romanticism,Pierre-Paul Prud&#39;hon,Portrait of the Empress Josephine,1805,https://use2-uploads2.wikiart.org/images/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805.jpg,https://www.wikiart.org/en/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805,portrait-of-the-empress-josephine-1805.jpg,/romanticism/portrait-of-the-empress-josephine-1805.jpg
Romanticism,Orest Kiprensky,Poor Lisa,1827,https://use2-uploads0.wikiart.org/images/orest-kiprensky/poor-lisa-1827.jpg,https://www.wikiart.org/en/orest-kiprensky/poor-lisa-1827,poor-lisa-1827.jpg,/romanticism/poor-lisa-1827.jpg
Abstract Art,Josef Sima,Storm at Fecamp,1954,https://use2-uploads7.wikiart.org/images/josef-ma/temp-te-f-camp-1954.jpg,https://www.wikiart.org/en/josef-sima/temp-te-f-camp-1954,temp-te-f-camp-1954.jpg,/abstract_art/temp-te-f-camp-1954.jpg
Neo-Expressionism,Jorg Immendorff,Gyntiana - The Birth of Onionman,1992,https://use2-uploads0.wikiart.org/images/jorg-immendorff/gyntiana-geburt-zwiebelmann-1992.jpg,https://www.wikiart.org/en/jorg-immendorff/gyntiana-geburt-zwiebelmann-1992,gyntiana-geburt-zwiebelmann-1992.jpg,/neo_expressionism/gyntiana-geburt-zwiebelmann-1992.jpg
Minimalism,Dan Flavin,Untitled (to Henri Matisse),1964,https://use2-uploads2.wikiart.org/images/dan-flavin/untitled-to-henri-matisse-1964.jpg,https://www.wikiart.org/en/dan-flavin/untitled-to-henri-matisse-1964,untitled-to-henri-matisse-1964.jpg,/minimalism/untitled-to-henri-matisse-1964.jpg
Surrealism,Carlos Merida,Angel on Horseback,1931,https://use2-uploads7.wikiart.org/images/carlos-merida/angel-on-horseback-1931.jpg,https://www.wikiart.org/en/carlos-merida/angel-on-horseback-1931,angel-on-horseback-1931.jpg,/surrealism/angel-on-horseback-1931.jpg
Neoclassicism,William-Adolphe Bouguereau,At the Edge of the Brook,1875,https://use2-uploads8.wikiart.org/images/william-adolphe-bouguereau/at-the-edge-of-the-brook-1875.jpg,https://www.wikiart.org/en/william-adolphe-bouguereau/at-the-edge-of-the-brook-1875,at-the-edge-of-the-brook-1875.jpg,/neoclassicism/at-the-edge-of-the-brook-1875.jpg
Abstract Art,Theodore Roszak,Surge,1946,https://use2-uploads5.wikiart.org/images/theodore-roszak/surge-1946.jpg,https://www.wikiart.org/en/theodore-roszak/surge-1946,surge-1946.jpg,/abstract_art/surge-1946.jpg
Abstract Expressionism,Hedda Sterne,Tondo #22,1953,https://use2-uploads5.wikiart.org/images/hedda-sterne/tondo-22-1953.jpg,https://www.wikiart.org/en/hedda-sterne/tondo-22-1953,tondo-22-1953.jpg,/abstract_expressionism/tondo-22-1953.jpg
Northern Renaissance,Albrecht Durer,Self-Portrait at the Age of Twenty Eight,1500,https://use2-uploads3.wikiart.org/images/albrecht-durer/self-portrait-at-the-age-of-twenty-eight-1500.jpg,https://www.wikiart.org/en/albrecht-durer/self-portrait-at-the-age-of-twenty-eight-1500,self-portrait-at-the-age-of-twenty-eight-1500.jpg,/northern_renaissance/self-portrait-at-the-age-of-twenty-eight-1500.jpg
Art Informel,Fritz Winter,Kleiner Garten,1961,https://use2-uploads2.wikiart.org/images/fritz-winter/kleiner-garten-1961.jpg,https://www.wikiart.org/en/fritz-winter/kleiner-garten-1961,kleiner-garten-1961.jpg,/art_informel/kleiner-garten-1961.jpg
Expressionism,Paula Modersohn-Becker,Landscape with Birch trunks,1901,https://use2-uploads2.wikiart.org/images/paula-modersohn-becker/landscape-with-birch-trunks.jpg,https://www.wikiart.org/en/paula-modersohn-becker/landscape-with-birch-trunks,landscape-with-birch-trunks.jpg,/expressionism/landscape-with-birch-trunks.jpg
Abstract Art,Serge Charchoune,"How many Sailors, How many Captains",1949,https://use2-uploads8.wikiart.org/images/serge-charchoune/how-many-sailors-how-many-captains-1949.jpg,https://www.wikiart.org/en/serge-charchoune/how-many-sailors-how-many-captains-1949,how-many-sailors-how-many-captains-1949.jpg,/abstract_art/how-many-sailors-how-many-captains-1949.jpg
Baroque,Agostino Carracci,Venus Punishing Profane Love,1590-1595,https://use2-uploads3.wikiart.org/images/agostino-carracci/venus-punishing-profane-love-1595.jpg,https://www.wikiart.org/en/agostino-carracci/venus-punishing-profane-love-1595,venus-punishing-profane-love-1595.jpg,/baroque/venus-punishing-profane-love-1595.jpg
Neoclassicism,Fyodor Alekseyev,Illumination at Soboronaya Square on the occasion of the coronation of Alexander I,1802,https://use2-uploads2.wikiart.org/images/fyodor-alekseyev/illumination-at-soboronaya-square-on-the-occasion-of-the-coronation-of-alexander-i-1802.jpg,https://www.wikiart.org/en/fyodor-alekseyev/illumination-at-soboronaya-square-on-the-occasion-of-the-coronation-of-alexander-i-1802,illumination-at-soboronaya-square-on-the-occasion-of-the-coronation-of-alexander-i-1802.jpg,/neoclassicism/illumination-at-soboronaya-square-on-the-occasion-of-the-coronation-of-alexander-i-1802.jpg
Rococo,William Hogarth,The Battle of the Pictures,1743,https://use2-uploads8.wikiart.org/images/william-hogarth/the-battle-of-the-pictures-1745.jpg,https://www.wikiart.org/en/william-hogarth/the-battle-of-the-pictures-1745,the-battle-of-the-pictures-1745.jpg,/rococo/the-battle-of-the-pictures-1745.jpg
Rococo,Allan Ramsay,Queen Charlotte,XVIII cent.,https://use2-uploads7.wikiart.org/images/allan-ramsay/queen-charlotte.jpg,https://www.wikiart.org/en/allan-ramsay/queen-charlotte,queen-charlotte.jpg,/rococo/queen-charlotte.jpg
Neo-Expressionism,Paul Wonner,"Landscape with Trees, Santa Monica",1964,https://use2-uploads2.wikiart.org/images/paul-wonner/landscape-with-trees-santa-monica-1964.jpg,https://www.wikiart.org/en/paul-wonner/landscape-with-trees-santa-monica-1964,landscape-with-trees-santa-monica-1964.jpg,/neo_expressionism/landscape-with-trees-santa-monica-1964.jpg
Rococo,Allan Ramsay,George III,XVIII cent.,https://use2-uploads2.wikiart.org/images/allan-ramsay/george-iii.jpg,https://www.wikiart.org/en/allan-ramsay/george-iii,george-iii.jpg,/rococo/george-iii.jpg
"Rococo,Romanticism",Joseph Wright,"D&#39;Ewes Coke, His Wife Hannah and Daniel Parker Coke",1781-1782,https://use2-uploads7.wikiart.org/images/joseph-wright/d-ewes-coke-his-wife-hannah-and-daniel-parker-coke.jpg,https://www.wikiart.org/en/joseph-wright/d-ewes-coke-his-wife-hannah-and-daniel-parker-coke,d-ewes-coke-his-wife-hannah-and-daniel-parker-coke.jpg,/rococo/d-ewes-coke-his-wife-hannah-and-daniel-parker-coke.jpg
Abstract Expressionism,Louis Schanker,Football #3,1950,https://use2-uploads0.wikiart.org/images/louis-schanker/football-3-1950.jpg,https://www.wikiart.org/en/louis-schanker/football-3-1950,football-3-1950.jpg,/abstract_expressionism/football-3-1950.jpg
High Renaissance,Lorenzo Lotto,Triumph of Chastity,1530,https://use2-uploads8.wikiart.org/images/lorenzo-lotto/triumph-of-chastity-1530.jpg,https://www.wikiart.org/en/lorenzo-lotto/triumph-of-chastity-1530,triumph-of-chastity-1530.jpg,/high_renaissance/triumph-of-chastity-1530.jpg
Abstract Art,Serge Charchoune,Symphonie Fantastique,1949,https://use2-uploads4.wikiart.org/images/serge-charchoune/symphonie-fantastique-1949.jpg,https://www.wikiart.org/en/serge-charchoune/symphonie-fantastique-1949,symphonie-fantastique-1949.jpg,/abstract_art/symphonie-fantastique-1949.jpg
Post-Impressionism,Augustus John,David and Dorelia in Normandy,1908,https://use2-uploads0.wikiart.org/images/augustus-john/david-and-dorelia-in-normandy-1908.jpg,https://www.wikiart.org/en/augustus-john/david-and-dorelia-in-normandy-1908,david-and-dorelia-in-normandy-1908.jpg,/post_impressionism/david-and-dorelia-in-normandy-1908.jpg
Art Informel,Manuel Rivera,Espejo del Duende,1963,https://use2-uploads6.wikiart.org/images/manuel-rivera/espejo-del-duende-1963.jpg,https://www.wikiart.org/en/manuel-rivera/espejo-del-duende-1963,espejo-del-duende-1963.jpg,/art_informel/espejo-del-duende-1963.jpg
Neoclassicism,Gheorghe Tattarescu,Woman with Tambourine,XIX cent.,https://use2-uploads2.wikiart.org/images/gheorghe-tattarescu/woman-with-tambourine.jpg,https://www.wikiart.org/en/gheorghe-tattarescu/woman-with-tambourine,woman-with-tambourine.jpg,/neoclassicism/woman-with-tambourine.jpg
Northern Renaissance,Hans Holbein the Younger,The Body of the Dead Christ in the Tomb,1521,https://use2-uploads3.wikiart.org/images/hans-holbein-the-younger/the-body-of-the-dead-christ-in-the-tomb-1521.jpg,https://www.wikiart.org/en/hans-holbein-the-younger/the-body-of-the-dead-christ-in-the-tomb-1521,the-body-of-the-dead-christ-in-the-tomb-1521.jpg,/northern_renaissance/the-body-of-the-dead-christ-in-the-tomb-1521.jpg
Impressionism,Vilhelm Hammershoi,"Frederikke Hammersh&#248;i, the artist&#39;s mother",1886,https://use2-uploads8.wikiart.org/images/vilhelm-hammershoi/frederikke-hammersh-i-the-artist-s-mother-1886.jpg,https://www.wikiart.org/en/vilhelm-hammershoi/frederikke-hammersh-i-the-artist-s-mother-1886,frederikke-hammersh-i-the-artist-s-mother-1886.jpg,/impressionism/frederikke-hammersh-i-the-artist-s-mother-1886.jpg
Rococo,Bernardo Bellotto,The Arch of Constantine,1742,https://use2-uploads7.wikiart.org/images/bernardo-bellotto/the-arch-of-constantine-1742.jpg,https://www.wikiart.org/en/bernardo-bellotto/the-arch-of-constantine-1742,the-arch-of-constantine-1742.jpg,/rococo/the-arch-of-constantine-1742.jpg
Neoclassicism,Jean Auguste Dominique Ingres,The Turkish Bath,1863,https://use2-uploads3.wikiart.org/images/jean-auguste-dominique-ingres/the-turkish-bath-1863.jpg,https://www.wikiart.org/en/jean-auguste-dominique-ingres/the-turkish-bath-1863,the-turkish-bath-1863.jpg,/neoclassicism/the-turkish-bath-1863.jpg
Rococo,Paul Revere,Landing of Troops,1770,https://use2-uploads4.wikiart.org/images/paul-revere/landing-of-troops-1770.jpg,https://www.wikiart.org/en/paul-revere/landing-of-troops-1770,landing-of-troops-1770.jpg,/rococo/landing-of-troops-1770.jpg
Abstract Art,Johannes Itten,Farbenkugel in 7 Lichtstufen und 12 T&#246;nen,1921,https://use2-uploads4.wikiart.org/images/johannes-itten/farbenkugel-in-7-lichtstufen-und-12-t-nen-1921.jpg,https://www.wikiart.org/en/johannes-itten/farbenkugel-in-7-lichtstufen-und-12-t-nen-1921,farbenkugel-in-7-lichtstufen-und-12-t-nen-1921.jpg,/abstract_art/farbenkugel-in-7-lichtstufen-und-12-t-nen-1921.jpg
Romanticism,Henry Fuseli,The Death of Oedipus,1784,https://use2-uploads2.wikiart.org/images/henry-fuseli/the-death-of-oedipus-1784(1).jpg,https://www.wikiart.org/en/henry-fuseli/the-death-of-oedipus-1784,the-death-of-oedipus-1784(1).jpg,/romanticism/the-death-of-oedipus-1784(1).jpg
Early Renaissance,Piero della Francesca,Battle between Heraclius and Chosroes,1458-1466,https://use2-uploads5.wikiart.org/images/piero-della-francesca/battle-between-heraclius-and-chosroes(1).jpg,https://www.wikiart.org/en/piero-della-francesca/battle-between-heraclius-and-chosroes,battle-between-heraclius-and-chosroes(1).jpg,/early_renaissance/battle-between-heraclius-and-chosroes(1).jpg
Rococo,Jean-Baptiste Oudry,Louis XV Hunting Deer in the Saint-Germain Forest,1730,https://use2-uploads8.wikiart.org/images/jean-baptiste-oudry/louis-xv-hunting-deer-in-the-saint-germain-forest-1730.jpg,https://www.wikiart.org/en/jean-baptiste-oudry/louis-xv-hunting-deer-in-the-saint-germain-forest-1730,louis-xv-hunting-deer-in-the-saint-germain-forest-1730.jpg,/rococo/louis-xv-hunting-deer-in-the-saint-germain-forest-1730.jpg
Pop Art,Patrick Caulfield,Pottery,1969,https://use2-uploads0.wikiart.org/images/patrick-caulfield/pottery-1969.jpg,https://www.wikiart.org/en/patrick-caulfield/pottery-1969,pottery-1969.jpg,/pop_art/pottery-1969.jpg
Rococo,William Hogarth,"A Harlot&#39;s Progress, plate 6",XVIII cent.,https://use2-uploads4.wikiart.org/images/william-hogarth/a-harlot-s-progress-plate-6.jpg,https://www.wikiart.org/en/william-hogarth/a-harlot-s-progress-plate-6,a-harlot-s-progress-plate-6.jpg,/rococo/a-harlot-s-progress-plate-6.jpg
Rococo,Jean-Baptiste Oudry,Still Life with Dead Game and Peaches in a Landscape,1727,https://use2-uploads2.wikiart.org/images/jean-baptiste-oudry/still-life-with-dead-game-and-peaches-in-a-landscape-1727.jpg,https://www.wikiart.org/en/jean-baptiste-oudry/still-life-with-dead-game-and-peaches-in-a-landscape-1727,still-life-with-dead-game-and-peaches-in-a-landscape-1727.jpg,/rococo/still-life-with-dead-game-and-peaches-in-a-landscape-1727.jpg
Romanticism,James Ward ,"Portraits of Blackthorn, a Broodmare, with Old Jack, a Favourite Pony, the Property of E. Mundy, Esq.",1812,https://use2-uploads8.wikiart.org/images/james-ward/portraits-of-blackthorn-a-broodmare-with-old-jack-a-favourite-pony-the-property-of-e-mundy-esq-1812.jpg,https://www.wikiart.org/en/james-ward/portraits-of-blackthorn-a-broodmare-with-old-jack-a-favourite-pony-the-property-of-e-mundy-esq-1812,portraits-of-blackthorn-a-broodmare-with-old-jack-a-favourite-pony-the-property-of-e-mundy-esq-1812.jpg,/romanticism/portraits-of-blackthorn-a-broodmare-with-old-jack-a-favourite-pony-the-property-of-e-mundy-esq-1812.jpg
Rococo,Maurice Quentin de La Tour,Portrait of King Louis XV,1748,https://use2-uploads0.wikiart.org/images/maurice-quentin-de-la-tour/portrait-of-king-louis-xv-1748.jpg,https://www.wikiart.org/en/maurice-quentin-de-la-tour/portrait-of-king-louis-xv-1748,portrait-of-king-louis-xv-1748.jpg,/rococo/portrait-of-king-louis-xv-1748.jpg
Minimalism,Martin Barre,62-5,1962,https://use2-uploads1.wikiart.org/images/martin-barre/62-5-1962.jpg,https://www.wikiart.org/en/martin-barre/62-5-1962,62-5-1962.jpg,/minimalism/62-5-1962.jpg
Rococo,Charles Willson Peale,Thomas and Henry Sergeant,1787,https://use2-uploads4.wikiart.org/images/charles-willson-peale/thomas-and-henry-sergeant-1787.jpg,https://www.wikiart.org/en/charles-willson-peale/thomas-and-henry-sergeant-1787,thomas-and-henry-sergeant-1787.jpg,/rococo/thomas-and-henry-sergeant-1787.jpg
Northern Renaissance,Gerard David,A Rest During the Flight to Egypt,1510-1515,https://use2-uploads7.wikiart.org/images/gerard-david/a-rest-during-the-flight-to-egypt.jpg,https://www.wikiart.org/en/gerard-david/a-rest-during-the-flight-to-egypt,a-rest-during-the-flight-to-egypt.jpg,/northern_renaissance/a-rest-during-the-flight-to-egypt.jpg
Lyrical Abstraction,Ray Parker,Untitled #71,1974,https://use2-uploads6.wikiart.org/images/ray-parker/untitled-71-1974.jpg,https://www.wikiart.org/en/ray-parker/untitled-71-1974,untitled-71-1974.jpg,/lyrical_abstraction/untitled-71-1974.jpg
Expressionism,Egon Schiele,Two Girls Lying Entwined,1915,https://use2-uploads3.wikiart.org/images/egon-schiele/two-girls-lying-entwined-1915.jpg,https://www.wikiart.org/en/egon-schiele/two-girls-lying-entwined-1915,two-girls-lying-entwined-1915.jpg,/expressionism/two-girls-lying-entwined-1915.jpg
Northern Renaissance,Jan van Hemessen,Parable of the Prodigal Son,1536,https://use2-uploads8.wikiart.org/images/jan-van-hemessen/the-prodigal-son-1536.jpg,https://www.wikiart.org/en/jan-van-hemessen/the-prodigal-son-1536,the-prodigal-son-1536.jpg,/northern_renaissance/the-prodigal-son-1536.jpg
Baroque,Judith Leyster,A Youth with a Jug,1629,https://use2-uploads3.wikiart.org/images/judith-leyster/a-youth-with-a-jug.jpg,https://www.wikiart.org/en/judith-leyster/a-youth-with-a-jug,a-youth-with-a-jug.jpg,/baroque/a-youth-with-a-jug.jpg
Abstract Expressionism,Hassel Smith,Untitled,1959,https://use2-uploads7.wikiart.org/images/hassel-smith/untitled-1959-1.jpg,https://www.wikiart.org/en/hassel-smith/untitled-1959-1,untitled-1959-1.jpg,/abstract_expressionism/untitled-1959-1.jpg
Magic Realism,Pierre Roy,Le chou-fleur,1931,https://use2-uploads8.wikiart.org/images/pierre-roy/le-chou-fleur-1931.jpg,https://www.wikiart.org/en/pierre-roy/le-chou-fleur-1931,le-chou-fleur-1931.jpg,/magic_realism/le-chou-fleur-1931.jpg
Neo-Expressionism,Betty Goodwin,Swimmer #3,1983,https://use2-uploads7.wikiart.org/images/betty-goodwin/swimmer-3-1983.jpg,https://www.wikiart.org/en/betty-goodwin/swimmer-3-1983,swimmer-3-1983.jpg,/neo_expressionism/swimmer-3-1983.jpg
Northern Renaissance,Hans Baldung,Portrait of a Lady,1530,https://use2-uploads6.wikiart.org/images/hans-baldung/portrait-of-a-lady-1530.jpg,https://www.wikiart.org/en/hans-baldung/portrait-of-a-lady-1530,portrait-of-a-lady-1530.jpg,/northern_renaissance/portrait-of-a-lady-1530.jpg
Impressionism,Claude Monet,Women in the garden,1866,https://use2-uploads2.wikiart.org/images/claude-monet/women-in-the-garden.jpg,https://www.wikiart.org/en/claude-monet/women-in-the-garden,women-in-the-garden.jpg,/impressionism/women-in-the-garden.jpg
Realism,Grigoriy Myasoyedov,Zemstvo is having their lunch,1872,https://use2-uploads6.wikiart.org/images/grigoriy-myasoyedov/zemstvo-is-having-their-lunch-1872.jpg,https://www.wikiart.org/en/grigoriy-myasoyedov/zemstvo-is-having-their-lunch-1872,zemstvo-is-having-their-lunch-1872.jpg,/realism/zemstvo-is-having-their-lunch-1872.jpg
High Renaissance,Vittore Carpaccio,Portrait of a Knight,1510,https://use2-uploads4.wikiart.org/images/vittore-carpaccio/portrait-of-a-knight-1510.jpg,https://www.wikiart.org/en/vittore-carpaccio/portrait-of-a-knight-1510,portrait-of-a-knight-1510.jpg,/high_renaissance/portrait-of-a-knight-1510.jpg
Impressionism,Julian Ashton,"Sentry-box Reach, Hawkesbury River, New South Wales",1886,https://use2-uploads2.wikiart.org/images/julian-ashton/sentry-box-reach-hawkesbury-river-new-south-wales-1886.jpg,https://www.wikiart.org/en/julian-ashton/sentry-box-reach-hawkesbury-river-new-south-wales-1886,sentry-box-reach-hawkesbury-river-new-south-wales-1886.jpg,/impressionism/sentry-box-reach-hawkesbury-river-new-south-wales-1886.jpg
Abstract Expressionism,Giorgio Cavallon,Country Scene,1938,https://use2-uploads5.wikiart.org/images/giorgio-cavallon/country-scene-1938.jpg,https://www.wikiart.org/en/giorgio-cavallon/country-scene-1938,country-scene-1938.jpg,/abstract_expressionism/country-scene-1938.jpg
Abstract Art,Jean Fautrier,Le lilas blanc,1927,https://use2-uploads3.wikiart.org/images/jean-fautrier/le-lilas-blanc-1927.jpg,https://www.wikiart.org/en/jean-fautrier/le-lilas-blanc-1927,le-lilas-blanc-1927.jpg,/abstract_art/le-lilas-blanc-1927.jpg
Neoclassicism,John Trumbull,The Surrender of General Burgoyne,1821,https://use2-uploads4.wikiart.org/images/john-trumbull/the-surrender-of-general-burgoyne-1821.jpg,https://www.wikiart.org/en/john-trumbull/the-surrender-of-general-burgoyne-1821,the-surrender-of-general-burgoyne-1821.jpg,/neoclassicism/the-surrender-of-general-burgoyne-1821.jpg
Color Field Painting,Cesar Paternosto,Modez,1971,https://use2-uploads6.wikiart.org/images/cesar-paternosto/modez-1971.jpg,https://www.wikiart.org/en/cesar-paternosto/modez-1971,modez-1971.jpg,/color_field_painting/modez-1971.jpg
Magic Realism,Pierre Roy,La naissance de V&#233;nus,XIX-XX cent.,https://use2-uploads2.wikiart.org/images/pierre-roy/la-naissance-de-v-nus.jpg,https://www.wikiart.org/en/pierre-roy/la-naissance-de-v-nus,la-naissance-de-v-nus.jpg,/magic_realism/la-naissance-de-v-nus.jpg
Abstract Art,Balcomb Greene,Way Down Blue,1945,https://use2-uploads3.wikiart.org/images/balcomb-greene/way-down-blue-1945.jpg,https://www.wikiart.org/en/balcomb-greene/way-down-blue-1945,way-down-blue-1945.jpg,/abstract_art/way-down-blue-1945.jpg
Abstract Art,Perle Fine,Untitled,1940,https://use2-uploads3.wikiart.org/images/perle-fine/untitled-1940.jpg,https://www.wikiart.org/en/perle-fine/untitled-1940,untitled-1940.jpg,/abstract_art/untitled-1940.jpg
Lyrical Abstraction,Paul Jenkins,Phenomena Waiting Gables,1965,https://use2-uploads7.wikiart.org/images/paul-jenkins/phenomena-waiting-gables.jpg,https://www.wikiart.org/en/paul-jenkins/phenomena-waiting-gables,phenomena-waiting-gables.jpg,/lyrical_abstraction/phenomena-waiting-gables.jpg
Magic Realism,Nicolae Maniu,Contemplation,XX cent.,https://use2-uploads6.wikiart.org/images/nicolae-maniu/contemplation.jpg,https://www.wikiart.org/en/nicolae-maniu/contemplation,contemplation.jpg,/magic_realism/contemplation.jpg
Abstract Art,Constantin Brancusi,Head,1920,https://use2-uploads3.wikiart.org/images/constantin-brancusi/head.jpg,https://www.wikiart.org/en/constantin-brancusi/head,head.jpg,/abstract_art/head.jpg
Lyrical Abstraction,Norman Bluhm,Dido,1973,https://use2-uploads1.wikiart.org/images/norman-bluhm/dido-1973.jpg,https://www.wikiart.org/en/norman-bluhm/dido-1973,dido-1973.jpg,/lyrical_abstraction/dido-1973.jpg
